VATTENID	NAMN	LOKALNAMN	DATUM1	NETTYP	NETKOD	NETNR	ZON	NabborB	BabborB	NgäddaB	BgäddaB	NlakeB	BlakeB	NmörtB	BmörtB	Narter	NtotalB	BtotalB	MviktB	AbCyW	pCyp	mlg10Labbo	mlg10Lmört	nPiscAbb-Net	BpiscAbbB-Net	gmLabboB	gmLmörtB	pPiscPerc
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	19	3	19	460	0	0			10	460	2	29	920	31.72	1.00	0.50	2.10	2.21	5.53	208.64	124.82	161.89	0.23
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	20	3	25	681	0	0			22	609	2	47	1290	27.45	1.12	0.47	2.13	2.13	8.67	329.67	135.97	135.39	0.26
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	21	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	22	6	6	365	0	0			6	313	2	12	678	56.50	1.17	0.46	2.26	2.23	5.38	334.57	181.02	171.72	0.49
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	23	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19970824	B	Bnord12	24	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	1	3	25	1042	1	325			8	625	3	34	1992	58.59	1.67	0.31	2.17	2.28	14.02	836.53	148.65	192.08	0.42
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	2	0	21	683	1	821			8	244	3	30	1748	58.27	2.80	0.14	2.13	2.13	7.35	477.49	136.11	135.72	0.27
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	3	3	6	215	0	0			17	1498	2	23	1713	74.48	0.14	0.87	2.18	2.25	3.53	152.73	150.33	179.77	0.09
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	4	0	21	890	0	0			11	645	2	32	1535	47.97	1.38	0.42	2.14	2.25	8.82	586.52	137.01	179.50	0.38
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	5	3	20	481	0	0			21	1034	2	41	1515	36.95	0.47	0.68	2.08	2.19	5.43	289.16	120.29	154.30	0.19
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	6	6	0	0	0	0			1	146	1	1	146	146.00	0.00	1.00		2.39				243.00	
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	7	6	1	95	0	0			0	0	1	1	95	95.00		0.00	2.32		1.00	93.59	210.00		0.99
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	8	0	15	477	0	0			7	412	2	22	889	40.41	1.16	0.46	2.12	2.23	5.15	315.61	132.20	171.29	0.36
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	9	6	0	0	0	0			1	122	1	1	122	122.00	0.00	1.00		2.39				243.00	
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	10	6	0	0	0	0			2	60	1	2	60	30.00	0.00	1.00		2.17				146.94	
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	11	3	46	936	1	469			9	1038	3	56	2443	43.63	0.90	0.42	2.05	2.32	8.02	500.96	113.23	206.74	0.21
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	12	3	12	708	0	0			5	585	2	17	1293	76.06	1.21	0.45	2.24	2.39	9.30	599.72	173.64	244.87	0.46
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	13	0	15	398	0	0			4	210	2	19	608	32.00	1.90	0.35	2.08	2.22	3.67	219.32	120.69	167.05	0.36
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	14	3	40	478	0	0			11	757	2	51	1235	24.22	0.63	0.61	2.01	2.26	3.12	106.57	102.41	182.82	0.09
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	15	0	12	1149	0	0			3	88	2	15	1237	82.47	13.06	0.07	2.30	2.16	10.43	1146.03	201.14	143.44	0.93
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	16	3	15	458	0	0			8	619	2	23	1077	46.83	0.74	0.57	2.15	2.29	6.60	290.53	141.10	195.17	0.27
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	17	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	18	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	19	6	2	90	0	0			1	159	2	3	249	83.00	0.57	0.64	2.23	2.39	1.50	82.69	168.37	243.00	0.33
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	20	6	0	0	0	0			1	119	1	1	119	119.00	0.00	1.00		2.37				237.00	
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	21	0	39	822	0	0			1	70	2	40	892	22.30	11.74	0.08	2.06	2.28	7.92	470.25	114.36	192.00	0.53
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	22	3	5	122	0	0			14	1119	2	19	1241	65.32	0.11	0.90	2.12	2.29	1.87	76.05	130.41	196.22	0.06
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	23	0	13	353	0	0			17	1099	2	30	1452	48.40	0.32	0.76	2.08	2.25	5.13	241.33	121.31	179.21	0.17
683673-154083	Stensjön	Hela sjön	19980809	B	Bnord12	24	0	15	865	0	0			13	455	2	28	1320	47.14	1.90	0.34	2.17	2.16	7.62	737.89	148.57	143.76	0.56
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	1	0	14	599	1	940	0	0	10	394	3	25	1933	77.32	1.52	0.20	2.16	2.19	5.05	451.62	143.31	156.12	0.23
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	2	0	11	238	1	1035	0	0	9	260	3	21	1533	73.00	0.92	0.17	2.00	2.11	2.75	150.23	101.07	130.21	0.10
683673-154083	Stensjön	Hela sjön	19990816	B	Bnord12	3	0	28	1212	0	0	0	0	73	2088	2	101	3300	32.67	0.58	0.63	2.12	2.11	9.75	967.04	131.66	129.25	0.29
