"Year"	"DepthStratum"	"N"	"n21"	"n18"	"n15"	"n12"
"2012"	"0-3m"	8	7	6	5	4
"2012"	"0-3m"	8	7	6	5	4
"2012"	"0-3m"	8	7	6	5	4
"2012"	"0-3m"	8	7	6	5	4
"2012"	"0-3m"	8	7	6	5	4
"2012"	"3-6m"	8	7	6	5	4
"2012"	"3-6m"	8	7	6	5	4
"2012"	"3-6m"	8	7	6	5	4
"2012"	"3-6m"	8	7	6	5	4
"2012"	"3-6m"	8	7	6	5	4
"2012"	"3-6m"	8	7	6	5	4
"2012"	"3-6m"	8	7	6	5	4
"2012"	"3-6m"	8	7	6	5	4
"2012"	"6-12m"	8	7	6	5	4
"2012"	"6-12m"	8	7	6	5	4
"2012"	"6-12m"	8	7	6	5	4
"2012"	"6-12m"	8	7	6	5	4
"2012"	"6-12m"	8	7	6	5	4
"2012"	"6-12m"	8	7	6	5	4
"2012"	"6-12m"	8	7	6	5	4
"2012"	"6-12m"	8	7	6	5	4
"2013"	"0-3m"	8	7	6	5	4
"2013"	"0-3m"	8	7	6	5	4
"2013"	"0-3m"	8	7	6	5	4
"2013"	"0-3m"	8	7	6	5	4
"2013"	"0-3m"	8	7	6	5	4
"2013"	"0-3m"	8	7	6	5	4
"2013"	"0-3m"	8	7	6	5	4
"2013"	"0-3m"	8	7	6	5	4
"2013"	"3-6m"	8	7	6	5	4
"2013"	"3-6m"	8	7	6	5	4
"2013"	"3-6m"	8	7	6	5	4
"2013"	"3-6m"	8	7	6	5	4
"2013"	"3-6m"	8	7	6	5	4
"2013"	"3-6m"	8	7	6	5	4
"2013"	"3-6m"	8	7	6	5	4
"2013"	"3-6m"	8	7	6	5	4
"2013"	"6-12m"	8	7	6	5	4
"2013"	"6-12m"	8	7	6	5	4
"2013"	"6-12m"	8	7	6	5	4
"2013"	"6-12m"	8	7	6	5	4
"2013"	"6-12m"	8	7	6	5	4
"2013"	"6-12m"	8	7	6	5	4
"2013"	"6-12m"	8	7	6	5	4
"2013"	"6-12m"	8	7	6	5	4
"2014"	"0-3m"	8	7	6	5	4
"2014"	"0-3m"	8	7	6	5	4
"2014"	"0-3m"	8	7	6	5	4
"2014"	"0-3m"	8	7	6	5	4
"2014"	"0-3m"	8	7	6	5	4
"2014"	"0-3m"	8	7	6	5	4
"2014"	"0-3m"	8	7	6	5	4
"2014"	"0-3m"	8	7	6	5	4
"2014"	"3-6m"	8	7	6	5	4
"2014"	"3-6m"	8	7	6	5	4
"2014"	"3-6m"	8	7	6	5	4
"2014"	"3-6m"	8	7	6	5	4
"2014"	"3-6m"	8	7	6	5	4
"2014"	"3-6m"	8	7	6	5	4
"2014"	"3-6m"	8	7	6	5	4
"2014"	"3-6m"	8	7	6	5	4
"2014"	"6-12m"	8	7	6	5	4
"2014"	"6-12m"	8	7	6	5	4
"2014"	"6-12m"	8	7	6	5	4
"2014"	"6-12m"	8	7	6	5	4
"2014"	"6-12m"	8	7	6	5	4
"2014"	"6-12m"	8	7	6	5	4
"2014"	"6-12m"	8	7	6	5	4
"2014"	"6-12m"	8	7	6	5	4
"2015"	"0-3m"	8	7	6	5	4
"2015"	"0-3m"	8	7	6	5	4
"2015"	"0-3m"	8	7	6	5	4
"2015"	"0-3m"	8	7	6	5	4
"2015"	"0-3m"	8	7	6	5	4
"2015"	"0-3m"	8	7	6	5	4
"2015"	"0-3m"	8	7	6	5	4
"2015"	"0-3m"	8	7	6	5	4
"2015"	"3-6m"	8	7	6	5	4
"2015"	"3-6m"	8	7	6	5	4
"2015"	"3-6m"	8	7	6	5	4
"2015"	"3-6m"	8	7	6	5	4
"2015"	"3-6m"	8	7	6	5	4
"2015"	"3-6m"	8	7	6	5	4
"2015"	"3-6m"	8	7	6	5	4
"2015"	"3-6m"	8	7	6	5	4
"2015"	"6-12m"	8	7	6	5	4
"2015"	"6-12m"	8	7	6	5	4
"2015"	"6-12m"	8	7	6	5	4
"2015"	"6-12m"	8	7	6	5	4
"2015"	"6-12m"	8	7	6	5	4
"2015"	"6-12m"	8	7	6	5	4
"2015"	"6-12m"	8	7	6	5	4
"2015"	"6-12m"	8	7	6	5	4
"2016"	"0-3m"	8	7	6	5	4
"2016"	"0-3m"	8	7	6	5	4
"2016"	"0-3m"	8	7	6	5	4
"2016"	"0-3m"	8	7	6	5	4
"2016"	"0-3m"	8	7	6	5	4
"2016"	"0-3m"	8	7	6	5	4
"2016"	"0-3m"	8	7	6	5	4
"2016"	"0-3m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"3-6m"	8	7	6	5	4
"2016"	"6-12m"	8	7	6	5	4
"2016"	"6-12m"	8	7	6	5	4
"2016"	"6-12m"	8	7	6	5	4
"2016"	"6-12m"	8	7	6	5	4
"2016"	"6-12m"	8	7	6	5	4
"2016"	"6-12m"	8	7	6	5	4
"2016"	"6-12m"	8	7	6	5	4
"2017"	"0-3m"	8	7	6	5	4
"2017"	"0-3m"	8	7	6	5	4
"2017"	"0-3m"	8	7	6	5	4
"2017"	"0-3m"	8	7	6	5	4
"2017"	"0-3m"	8	7	6	5	4
"2017"	"0-3m"	8	7	6	5	4
"2017"	"0-3m"	8	7	6	5	4
"2017"	"0-3m"	8	7	6	5	4
"2017"	"3-6m"	8	7	6	5	4
"2017"	"3-6m"	8	7	6	5	4
"2017"	"3-6m"	8	7	6	5	4
"2017"	"3-6m"	8	7	6	5	4
"2017"	"3-6m"	8	7	6	5	4
"2017"	"3-6m"	8	7	6	5	4
"2017"	"3-6m"	8	7	6	5	4
"2017"	"6-12m"	8	7	6	5	4
"2017"	"6-12m"	8	7	6	5	4
"2017"	"6-12m"	8	7	6	5	4
"2017"	"6-12m"	8	7	6	5	4
"2017"	"6-12m"	8	7	6	5	4
"2017"	"6-12m"	8	7	6	5	4
"2017"	"6-12m"	8	7	6	5	4
"2017"	"6-12m"	8	7	6	5	4
"2018"	"0-3m"	8	7	6	5	4
"2018"	"0-3m"	8	7	6	5	4
"2018"	"0-3m"	8	7	6	5	4
"2018"	"0-3m"	8	7	6	5	4
"2018"	"0-3m"	8	7	6	5	4
"2018"	"0-3m"	8	7	6	5	4
"2018"	"0-3m"	8	7	6	5	4
"2018"	"0-3m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"3-6m"	8	7	6	5	4
"2018"	"6-12m"	8	7	6	5	4
"2018"	"6-12m"	8	7	6	5	4
"2018"	"6-12m"	8	7	6	5	4
"2018"	"6-12m"	8	7	6	5	4
"2018"	"6-12m"	8	7	6	5	4
"2018"	"6-12m"	8	7	6	5	4
"2018"	"6-12m"	8	7	6	5	4
"2019"	"0-3m"	8	7	6	5	4
"2019"	"0-3m"	8	7	6	5	4
"2019"	"0-3m"	8	7	6	5	4
"2019"	"0-3m"	8	7	6	5	4
"2019"	"0-3m"	8	7	6	5	4
"2019"	"0-3m"	8	7	6	5	4
"2019"	"0-3m"	8	7	6	5	4
"2019"	"0-3m"	8	7	6	5	4
